Species	NCBI/VEuPathDB Accession ID	Taxonomic group	Length of contamination (bp)	Contaminant species
Plectus murrayi	GCA_004785735.1	Bacteria	2531	Chryseotalea sanaruensis
Plectus murrayi	GCA_004785735.1	Bacteria	1144	Chryseotalea sp.
Plectus murrayi	GCA_004785735.1	Bacteria	2405	Chthonomonas sp.
Plectus murrayi	GCA_004785735.1	Bacteria	728	Cloacibacterium caeni
Plectus murrayi	GCA_004785735.1	Bacteria	252	Cloacibacterium rupense
Plectus murrayi	GCA_004785735.1	Bacteria	761	Cloacibacterium sp.
Plectus murrayi	GCA_004785735.1	Bacteria	1822	Clostridium zeae
Plectus murrayi	GCA_004785735.1	Bacteria	234	Cognataquiflexum aquatile
Plectus murrayi	GCA_004785735.1	Bacteria	10402	Cohnella abietis
Plectus murrayi	GCA_004785735.1	Bacteria	1869	Cohnella algarum
Plectus murrayi	GCA_004785735.1	Bacteria	1774	Cohnella cholangitidis
Plectus murrayi	GCA_004785735.1	Bacteria	6682	Cohnella fermenti
Plectus murrayi	GCA_004785735.1	Bacteria	13117	Cohnella herbarum
Plectus murrayi	GCA_004785735.1	Bacteria	1478	Cohnella kolymensis
Plectus murrayi	GCA_004785735.1	Bacteria	707	Cohnella lubricantis
Plectus murrayi	GCA_004785735.1	Bacteria	642	Cohnella luojiensis
Plectus murrayi	GCA_004785735.1	Bacteria	281	Cohnella lupini
Plectus murrayi	GCA_004785735.1	Bacteria	2608	Cohnella nanjingensis
Plectus murrayi	GCA_004785735.1	Bacteria	36480	Cohnella phaseoli
Plectus murrayi	GCA_004785735.1	Bacteria	3703	Cohnella thailandensis
Plectus murrayi	GCA_004785735.1	Bacteria	2323	Cohnella thermotolerans
Plectus murrayi	GCA_004785735.1	Bacteria	5244	Cohnella xylanilytica
Plectus murrayi	GCA_004785735.1	Bacteria	5083	Cohnella zeiphila
Plectus murrayi	GCA_004785735.1	Bacteria	698	Comamonas composti
Plectus murrayi	GCA_004785735.1	Bacteria	457	Comamonas sp.
Plectus murrayi	GCA_004785735.1	Bacteria	218	Confluentibacter citreus
Plectus murrayi	GCA_004785735.1	Bacteria	669	Confluentibacter lentus
Plectus murrayi	GCA_004785735.1	Bacteria	1243	Confluentibacter sediminis
Plectus murrayi	GCA_004785735.1	Bacteria	658	Coralloluteibacterium stylophorae
Plectus murrayi	GCA_004785735.1	Bacteria	298	Croceicoccus gelatinilyticus
Plectus murrayi	GCA_004785735.1	Bacteria	2770	Daejeonella rubra
Plectus murrayi	GCA_004785735.1	Bacteria	323	Dawidia cretensis
Plectus murrayi	GCA_004785735.1	Bacteria	775	Dechloromonas sp.
Plectus murrayi	GCA_004785735.1	Bacteria	219	Delftia acidovorans
Plectus murrayi	GCA_004785735.1	Bacteria	3273	Deminuibacter soli
Plectus murrayi	GCA_004785735.1	Bacteria	376	Denitratisoma oestradiolicum
Plectus murrayi	GCA_004785735.1	Bacteria	211	Diaphorobacter nitroreducens
Plectus murrayi	GCA_004785735.1	Bacteria	256	Dolosicoccus paucivorans
Plectus murrayi	GCA_004785735.1	Bacteria	1215	Duganella phyllosphaerae
Plectus murrayi	GCA_004785735.1	Bacteria	213	Duganella sacchari
Plectus murrayi	GCA_004785735.1	Bacteria	900	Duganella vulcania
Plectus murrayi	GCA_004785735.1	Bacteria	227	Dyadobacter alkalitolerans
Plectus murrayi	GCA_004785735.1	Bacteria	444	Dyadobacter bucti
Plectus murrayi	GCA_004785735.1	Bacteria	3328	Dyadobacter crusticola
Plectus murrayi	GCA_004785735.1	Bacteria	428	Dyadobacter endophyticus
Plectus murrayi	GCA_004785735.1	Bacteria	208	Dyadobacter frigoris
Plectus murrayi	GCA_004785735.1	Bacteria	4029	Dyadobacter luticola
Plectus murrayi	GCA_004785735.1	Bacteria	6987	Dyadobacter psychrophilus
Plectus murrayi	GCA_004785735.1	Bacteria	445	Dyadobacter sandarakinus
Plectus murrayi	GCA_004785735.1	Bacteria	225	Dyadobacter sediminis
Plectus murrayi	GCA_004785735.1	Bacteria	272	Dyadobacter sp.
Plectus murrayi	GCA_004785735.1	Bacteria	982	Dyella ginsengisoli
Plectus murrayi	GCA_004785735.1	Bacteria	222	Dysgonomonas macrotermitis
Plectus murrayi	GCA_004785735.1	Bacteria	6854	Dysgonomonas sp.
Plectus murrayi	GCA_004785735.1	Bacteria	258	Echinicola arenosa
Plectus murrayi	GCA_004785735.1	Bacteria	1681	Eisenibacter elegans
Plectus murrayi	GCA_004785735.1	Bacteria	219	Elizabethkingia meningoseptica
Plectus murrayi	GCA_004785735.1	Bacteria	688	Empedobacter brevis
Plectus murrayi	GCA_004785735.1	Bacteria	247	Emticicia agri
Plectus murrayi	GCA_004785735.1	Bacteria	660	Emticicia aquatilis
Plectus murrayi	GCA_004785735.1	Bacteria	1922	Enterobacter hormaechei
Plectus murrayi	GCA_004785735.1	Bacteria	644	Erythrobacter colymbi
Plectus murrayi	GCA_004785735.1	Bacteria	876	Erythrobacter sp.
Plectus murrayi	GCA_004785735.1	Bacteria	820	Extensimonas perlucida
Plectus murrayi	GCA_004785735.1	Bacteria	257	Falsibacillus pallidus
Plectus murrayi	GCA_004785735.1	Bacteria	1303	Ferribacterium limneticum
Plectus murrayi	GCA_004785735.1	Bacteria	3128	Ferruginibacter albus
Plectus murrayi	GCA_004785735.1	Bacteria	3971	Ferruginibacter lapsinanis
Plectus murrayi	GCA_004785735.1	Bacteria	528	Ferruginibacter sp.
Plectus murrayi	GCA_004785735.1	Bacteria	696	Fibrella aestuarina
Plectus murrayi	GCA_004785735.1	Bacteria	270	Fibrella forsythiae
Plectus murrayi	GCA_004785735.1	Bacteria	719	Fibrella rubiginis
Plectus murrayi	GCA_004785735.1	Bacteria	210	Fibrisoma limi
Plectus murrayi	GCA_004785735.1	Bacteria	717	Fibrisoma montanum
Plectus murrayi	GCA_004785735.1	Bacteria	4041	Filimonas effusa
Plectus murrayi	GCA_004785735.1	Bacteria	4192	Filimonas lacunae
Plectus murrayi	GCA_004785735.1	Bacteria	4045	Filimonas sp.
Plectus murrayi	GCA_004785735.1	Bacteria	1401	Filimonas zeae
Plectus murrayi	GCA_004785735.1	Bacteria	4248	Fimbriimonas ginsengisoli
Plectus murrayi	GCA_004785735.1	Bacteria	450	Flaviaesturariibacter sp.
Plectus murrayi	GCA_004785735.1	Bacteria	2989	Flavihumibacter cheonanensis
Plectus murrayi	GCA_004785735.1	Bacteria	1304	Flavihumibacter fluminis
Plectus murrayi	GCA_004785735.1	Bacteria	224	Flavihumibacter petaseus
Plectus murrayi	GCA_004785735.1	Bacteria	1481	Flavihumibacter profundi
Plectus murrayi	GCA_004785735.1	Bacteria	202	Flavihumibacter solisilvae
Plectus murrayi	GCA_004785735.1	Bacteria	1342	Flavihumibacter sp.
Plectus murrayi	GCA_004785735.1	Bacteria	3721	Flavihumibacter stibioxidans
Plectus murrayi	GCA_004785735.1	Bacteria	225	Flavipsychrobacter sp.
Plectus murrayi	GCA_004785735.1	Bacteria	508	Flavisolibacter ginsengisoli
Plectus murrayi	GCA_004785735.1	Bacteria	209	Flavisolibacter tropicus
Plectus murrayi	GCA_004785735.1	Bacteria	5040	Flavobacterium agrisoli
Plectus murrayi	GCA_004785735.1	Bacteria	9881	Flavobacterium ajazii
Plectus murrayi	GCA_004785735.1	Bacteria	2078	Flavobacterium akiainvivens
Plectus murrayi	GCA_004785735.1	Bacteria	200	Flavobacterium alkalisoli
Plectus murrayi	GCA_004785735.1	Bacteria	17435	Flavobacterium alvei
Plectus murrayi	GCA_004785735.1	Bacteria	378	Flavobacterium amniphilum
Plectus murrayi	GCA_004785735.1	Bacteria	2461	Flavobacterium anhuiense
Plectus murrayi	GCA_004785735.1	Bacteria	448480	Flavobacterium aquariorum
Plectus murrayi	GCA_004785735.1	Bacteria	5143	Flavobacterium aquatile
Plectus murrayi	GCA_004785735.1	Bacteria	1075679	Flavobacterium aquicola
Plectus murrayi	GCA_004785735.1	Bacteria	9838	Flavobacterium aquidurense
Plectus murrayi	GCA_004785735.1	Bacteria	8953	Flavobacterium araucananum
Plectus murrayi	GCA_004785735.1	Bacteria	252	Flavobacterium azooxidireducens
Plectus murrayi	GCA_004785735.1	Bacteria	1371	Flavobacterium bernardetii
Plectus murrayi	GCA_004785735.1	Bacteria	15873	Flavobacterium bizetiae
Plectus murrayi	GCA_004785735.1	Bacteria	2189	Flavobacterium bomense
Plectus murrayi	GCA_004785735.1	Bacteria	6176	Flavobacterium branchiicola
Plectus murrayi	GCA_004785735.1	Bacteria	3567	Flavobacterium branchiophilum
Plectus murrayi	GCA_004785735.1	Bacteria	1575	Flavobacterium caseinilyticum
Plectus murrayi	GCA_004785735.1	Bacteria	257	Flavobacterium cauense
Plectus murrayi	GCA_004785735.1	Bacteria	14730	Flavobacterium cellulosilyticum
Plectus murrayi	GCA_004785735.1	Bacteria	26057	Flavobacterium cheongpyeongense
Plectus murrayi	GCA_004785735.1	Bacteria	7511	Flavobacterium chilense
Plectus murrayi	GCA_004785735.1	Bacteria	10546	Flavobacterium chungangense
Plectus murrayi	GCA_004785735.1	Bacteria	3997	Flavobacterium chungbukense
Plectus murrayi	GCA_004785735.1	Bacteria	20537	Flavobacterium circumlabens
Plectus murrayi	GCA_004785735.1	Bacteria	4818	Flavobacterium collinsii
Plectus murrayi	GCA_004785735.1	Bacteria	7098	Flavobacterium commune
Plectus murrayi	GCA_004785735.1	Bacteria	211	Flavobacterium covae
Plectus murrayi	GCA_004785735.1	Bacteria	1061	Flavobacterium crassostreae
Plectus murrayi	GCA_004785735.1	Bacteria	348	Flavobacterium croceum
Plectus murrayi	GCA_004785735.1	Bacteria	9853	Flavobacterium crocinum
Plectus murrayi	GCA_004785735.1	Bacteria	10663	Flavobacterium cupreum
Plectus murrayi	GCA_004785735.1	Bacteria	2820	Flavobacterium cutihirudinis
Plectus murrayi	GCA_004785735.1	Bacteria	1118	Flavobacterium cyanobacteriorum
Plectus murrayi	GCA_004785735.1	Bacteria	210	Flavobacterium cyclinae
Plectus murrayi	GCA_004785735.1	Bacteria	269	Flavobacterium daejeonense
Plectus murrayi	GCA_004785735.1	Bacteria	1762	Flavobacterium daemonense
Plectus murrayi	GCA_004785735.1	Bacteria	1418	Flavobacterium dankookense
Plectus murrayi	GCA_004785735.1	Bacteria	2421	Flavobacterium defluvii
Plectus murrayi	GCA_004785735.1	Bacteria	3897	Flavobacterium degerlachei
Plectus murrayi	GCA_004785735.1	Bacteria	3601	Flavobacterium denitrificans
Plectus murrayi	GCA_004785735.1	Bacteria	2139	Flavobacterium endoglycinae
Plectus murrayi	GCA_004785735.1	Bacteria	863	Flavobacterium enshiense
Plectus murrayi	GCA_004785735.1	Bacteria	698	Flavobacterium faecale
Plectus murrayi	GCA_004785735.1	Bacteria	5851	Flavobacterium flabelliforme
Plectus murrayi	GCA_004785735.1	Bacteria	3205	Flavobacterium flevense
Plectus murrayi	GCA_004785735.1	Bacteria	9116	Flavobacterium fluviale
Plectus murrayi	GCA_004785735.1	Bacteria	7768	Flavobacterium fluviatile
Plectus murrayi	GCA_004785735.1	Bacteria	34300	Flavobacterium fluvii
Plectus murrayi	GCA_004785735.1	Bacteria	2622	Flavobacterium foetidum
Plectus murrayi	GCA_004785735.1	Bacteria	16300	Flavobacterium franklandianum
Plectus murrayi	GCA_004785735.1	Bacteria	8381	Flavobacterium frigidimaris
Plectus murrayi	GCA_004785735.1	Bacteria	225	Flavobacterium frigoris
Plectus murrayi	GCA_004785735.1	Bacteria	2289	Flavobacterium fryxellicola
Plectus murrayi	GCA_004785735.1	Bacteria	12689	Flavobacterium gawalongense
Plectus murrayi	GCA_004785735.1	Bacteria	204	Flavobacterium gelidilacus
Plectus murrayi	GCA_004785735.1	Bacteria	11769	Flavobacterium geliluteum
Plectus murrayi	GCA_004785735.1	Bacteria	239	Flavobacterium gillisiae
Plectus murrayi	GCA_004785735.1	Bacteria	91060	Flavobacterium gilvum
Plectus murrayi	GCA_004785735.1	Bacteria	7565	Flavobacterium ginsenosidimutans
Plectus murrayi	GCA_004785735.1	Bacteria	2502	Flavobacterium glaciei
Plectus murrayi	GCA_004785735.1	Bacteria	3832	Flavobacterium glycines
Plectus murrayi	GCA_004785735.1	Bacteria	5603	Flavobacterium granuli
Plectus murrayi	GCA_004785735.1	Bacteria	3969	Flavobacterium hercynium
Plectus murrayi	GCA_004785735.1	Bacteria	11694	Flavobacterium hibernum
Plectus murrayi	GCA_004785735.1	Bacteria	15470	Flavobacterium hibisci
Plectus murrayi	GCA_004785735.1	Bacteria	1512	Flavobacterium hiemivividum
Plectus murrayi	GCA_004785735.1	Bacteria	3153	Flavobacterium humi
Plectus murrayi	GCA_004785735.1	Bacteria	6509	Flavobacterium hydatis
Plectus murrayi	GCA_004785735.1	Bacteria	28517	Flavobacterium hydrocarbonoxydans
Plectus murrayi	GCA_004785735.1	Bacteria	32980	Flavobacterium hydrophilum
Plectus murrayi	GCA_004785735.1	Bacteria	965	Flavobacterium inviolabile
Plectus murrayi	GCA_004785735.1	Bacteria	5482	Flavobacterium johnsoniae
Plectus murrayi	GCA_004785735.1	Bacteria	206	Flavobacterium jumunjinense
Plectus murrayi	GCA_004785735.1	Bacteria	3997	Flavobacterium kayseriense
Plectus murrayi	GCA_004785735.1	Bacteria	109433	Flavobacterium laiguense
Plectus murrayi	GCA_004785735.1	Bacteria	15470	Flavobacterium limi
Plectus murrayi	GCA_004785735.1	Bacteria	3010	Flavobacterium limicola
Plectus murrayi	GCA_004785735.1	Bacteria	2056	Flavobacterium limnosediminis
Plectus murrayi	GCA_004785735.1	Bacteria	2363	Flavobacterium luteum
Plectus murrayi	GCA_004785735.1	Bacteria	317	Flavobacterium lutivivi
Plectus murrayi	GCA_004785735.1	Bacteria	240	Flavobacterium microcysteis
Plectus murrayi	GCA_004785735.1	Bacteria	9228	Flavobacterium micromati
Plectus murrayi	GCA_004785735.1	Bacteria	6503	Flavobacterium muglaense
Plectus murrayi	GCA_004785735.1	Bacteria	43314	Flavobacterium nackdongense
Plectus murrayi	GCA_004785735.1	Bacteria	5190	Flavobacterium nitrogenifigens
Plectus murrayi	GCA_004785735.1	Bacteria	1001	Flavobacterium noncentrifugens
Plectus murrayi	GCA_004785735.1	Bacteria	2789	Flavobacterium notoginsengisoli
Plectus murrayi	GCA_004785735.1	Bacteria	2152	Flavobacterium omnivorum
Plectus murrayi	GCA_004785735.1	Bacteria	880	Flavobacterium oreochromis
Plectus murrayi	GCA_004785735.1	Bacteria	289	Flavobacterium orientale
Plectus murrayi	GCA_004785735.1	Bacteria	202	Flavobacterium pallidum
Plectus murrayi	GCA_004785735.1	Bacteria	8084	Flavobacterium palustre
Plectus murrayi	GCA_004785735.1	Bacteria	3533	Flavobacterium panacis
Plectus murrayi	GCA_004785735.1	Bacteria	15025	Flavobacterium panici
Plectus murrayi	GCA_004785735.1	Bacteria	17674	Flavobacterium pectinovorum
Plectus murrayi	GCA_004785735.1	Bacteria	9653	Flavobacterium petrolei
Plectus murrayi	GCA_004785735.1	Bacteria	5973	Flavobacterium phragmitis
Plectus murrayi	GCA_004785735.1	Bacteria	16727	Flavobacterium piscis
Plectus murrayi	GCA_004785735.1	Bacteria	1900	Flavobacterium plurextorum
Plectus murrayi	GCA_004785735.1	Bacteria	1486	Flavobacterium pokkalii
Plectus murrayi	GCA_004785735.1	Bacteria	1449	Flavobacterium profundi
Plectus murrayi	GCA_004785735.1	Bacteria	221	Flavobacterium proteolyticum
Plectus murrayi	GCA_004785735.1	Bacteria	10886	Flavobacterium psychrolimnae
Plectus murrayi	GCA_004785735.1	Bacteria	1296	Flavobacterium psychrophilum
Plectus murrayi	GCA_004785735.1	Bacteria	14889	Flavobacterium psychroterrae
Plectus murrayi	GCA_004785735.1	Bacteria	2170	Flavobacterium psychrotolerans
Plectus murrayi	GCA_004785735.1	Bacteria	3369	Flavobacterium quisquiliarum
Plectus murrayi	GCA_004785735.1	Bacteria	8341	Flavobacterium ranwuense
Plectus murrayi	GCA_004785735.1	Bacteria	3649	Flavobacterium reichenbachii
Plectus murrayi	GCA_004785735.1	Bacteria	9476	Flavobacterium resistens
Plectus murrayi	GCA_004785735.1	Bacteria	10320	Flavobacterium restrictum
Plectus murrayi	GCA_004785735.1	Bacteria	7682	Flavobacterium rhamnosiphilum
Plectus murrayi	GCA_004785735.1	Bacteria	16771	Flavobacterium saccharophilum
Plectus murrayi	GCA_004785735.1	Bacteria	28235	Flavobacterium salmonis
Plectus murrayi	GCA_004785735.1	Bacteria	11746	Flavobacterium sandaracinum
Plectus murrayi	GCA_004785735.1	Bacteria	289	Flavobacterium sangjuense
Plectus murrayi	GCA_004785735.1	Bacteria	276	Flavobacterium sasangense
Plectus murrayi	GCA_004785735.1	Bacteria	259	Flavobacterium sediminilitoris
Plectus murrayi	GCA_004785735.1	Bacteria	207	Flavobacterium segetis
Plectus murrayi	GCA_004785735.1	Bacteria	5307	Flavobacterium seoulense
Plectus murrayi	GCA_004785735.1	Bacteria	4745	Flavobacterium sharifuzzamanii
Plectus murrayi	GCA_004785735.1	Bacteria	8301	Flavobacterium sinopsychrotolerans
Plectus murrayi	GCA_004785735.1	Bacteria	477	Flavobacterium soli
Plectus murrayi	GCA_004785735.1	Bacteria	226	Flavobacterium solisilvae
Plectus murrayi	GCA_004785735.1	Bacteria	10601	Flavobacterium soyae
Plectus murrayi	GCA_004785735.1	Bacteria	1552	Flavobacterium soyangense
Plectus murrayi	GCA_004785735.1	Bacteria	31925	Flavobacterium sp.
Plectus murrayi	GCA_004785735.1	Bacteria	5666	Flavobacterium succinicans
Plectus murrayi	GCA_004785735.1	Bacteria	11150	Flavobacterium sufflavum
Plectus murrayi	GCA_004785735.1	Bacteria	945	Flavobacterium suncheonense
Plectus murrayi	GCA_004785735.1	Bacteria	711	Flavobacterium supellecticarium
Plectus murrayi	GCA_004785735.1	Bacteria	1012	Flavobacterium swingsii
Plectus murrayi	GCA_004785735.1	Bacteria	270	Flavobacterium tagetis
Plectus murrayi	GCA_004785735.1	Bacteria	356469	Flavobacterium taihuense
Plectus murrayi	GCA_004785735.1	Bacteria	1318	Flavobacterium tegetincola
Plectus murrayi	GCA_004785735.1	Bacteria	250	Flavobacterium terrigena
Plectus murrayi	GCA_004785735.1	Bacteria	12618	Flavobacterium tiangeerense
Plectus murrayi	GCA_004785735.1	Bacteria	4671	Flavobacterium tistrianum
Plectus murrayi	GCA_004785735.1	Bacteria	4127	Flavobacterium tructae
Plectus murrayi	GCA_004785735.1	Bacteria	2529	Flavobacterium turcicum
Plectus murrayi	GCA_004785735.1	Bacteria	2412	Flavobacterium tyrosinilyticum
Plectus murrayi	GCA_004785735.1	Bacteria	16126	Flavobacterium undicola
Plectus murrayi	GCA_004785735.1	Bacteria	243	Flavobacterium urumqiense
Plectus murrayi	GCA_004785735.1	Bacteria	8361	Flavobacterium ustbae
Plectus murrayi	GCA_004785735.1	Bacteria	689	Flavobacterium weaverense
Plectus murrayi	GCA_004785735.1	Bacteria	2334	Flavobacterium xanthum
Plectus murrayi	GCA_004785735.1	Bacteria	8721	Flavobacterium xinjiangense
Plectus murrayi	GCA_004785735.1	Bacteria	3186	Flavobacterium xueshanense
Plectus murrayi	GCA_004785735.1	Bacteria	2753	Flavobacterium zhairuonense
Plectus murrayi	GCA_004785735.1	Bacteria	1217	Flavonifractor plautii
Plectus murrayi	GCA_004785735.1	Bacteria	341	Flectobacillus major
Plectus murrayi	GCA_004785735.1	Bacteria	1964	Fluoribacter dumoffii
Plectus murrayi	GCA_004785735.1	Bacteria	1074	Fluviicola taffensis
Plectus murrayi	GCA_004785735.1	Bacteria	1703	Foetidibacter luteolus
Plectus murrayi	GCA_004785735.1	Bacteria	681	Fontibacillus panacisegetis
Plectus murrayi	GCA_004785735.1	Bacteria	415	Fontibacillus phaseoli
Plectus murrayi	GCA_004785735.1	Bacteria	1260	Frateuria flava
Plectus murrayi	GCA_004785735.1	Bacteria	737	Frateuria terrea
Plectus murrayi	GCA_004785735.1	Bacteria	238	Gelidibacter japonicus
Plectus murrayi	GCA_004785735.1	Bacteria	2082	Gelidibacter maritimus
Plectus murrayi	GCA_004785735.1	Bacteria	206	Gemmatimonas sp.
Plectus murrayi	GCA_004785735.1	Bacteria	748	Gillisia mitskevichiae
Plectus murrayi	GCA_004785735.1	Bacteria	516	Ginsengibacter hankyongi
Plectus murrayi	GCA_004785735.1	Bacteria	220	Gluconacetobacter tumulisoli
Plectus murrayi	GCA_004785735.1	Bacteria	446	Gorillibacterium timonense
Plectus murrayi	GCA_004785735.1	Bacteria	912	Gracilibacillus salitolerans
Plectus murrayi	GCA_004785735.1	Bacteria	739	Gramella jeungdoensis
Plectus murrayi	GCA_004785735.1	Bacteria	1564	Granulicella aggregans
Plectus murrayi	GCA_004785735.1	Bacteria	653	Gynurincola endophyticus
Plectus murrayi	GCA_004785735.1	Bacteria	225	Halobacillus mangrovi
Plectus murrayi	GCA_004785735.1	Bacteria	591	Halopseudomonas salegens
Plectus murrayi	GCA_004785735.1	Bacteria	874	Hanamia caeni
Plectus murrayi	GCA_004785735.1	Bacteria	669	Haoranjiania flava
Plectus murrayi	GCA_004785735.1	Bacteria	220	Herbaspirillum aquaticum
Plectus murrayi	GCA_004785735.1	Bacteria	16538	Hydrobacter penzbergensis
Plectus murrayi	GCA_004785735.1	Bacteria	210	Hydrogenophaga aromaticivorans
Plectus murrayi	GCA_004785735.1	Bacteria	343	Hydrogenophaga intermedia
Plectus murrayi	GCA_004785735.1	Bacteria	4043	Hydrotalea flava
Plectus murrayi	GCA_004785735.1	Bacteria	1865	Hydrotalea sandarakina
Plectus murrayi	GCA_004785735.1	Bacteria	18100	Hydrotalea sp.
Plectus murrayi	GCA_004785735.1	Bacteria	207	Hylemonella gracilis
Plectus murrayi	GCA_004785735.1	Bacteria	203	Hymenobacter glacieicola
Plectus murrayi	GCA_004785735.1	Bacteria	957	Hymenobacter metallicola
Plectus murrayi	GCA_004785735.1	Bacteria	216	Hymenobacter radiodurans
Plectus murrayi	GCA_004785735.1	Bacteria	595	Hymenobacter terricola
Plectus murrayi	GCA_004785735.1	Bacteria	2199	Ideonella sakaiensis
Plectus murrayi	GCA_004785735.1	Bacteria	231	Ideonella sp.
Plectus murrayi	GCA_004785735.1	Bacteria	3063	Ilyomonas limi
Plectus murrayi	GCA_004785735.1	Bacteria	377	Janthinobacterium psychrotolerans
Plectus murrayi	GCA_004785735.1	Bacteria	1446	Janthinobacterium tructae
Plectus murrayi	GCA_004785735.1	Bacteria	676	Kaistella sp.
Plectus murrayi	GCA_004785735.1	Bacteria	242	Klebsiella quasipneumoniae
Plectus murrayi	GCA_004785735.1	Bacteria	2725	Kordia periserrulae
Plectus murrayi	GCA_004785735.1	Bacteria	7814	Lacibacter cauensis
Plectus murrayi	GCA_004785735.1	Bacteria	2837	Lacibacter luteus
Plectus murrayi	GCA_004785735.1	Bacteria	342	Lacinutrix mariniflava
Plectus murrayi	GCA_004785735.1	Bacteria	204	Lacipirellula limnantheis
Plectus murrayi	GCA_004785735.1	Bacteria	466	Lampropedia cohaerens
Plectus murrayi	GCA_004785735.1	Bacteria	3682	Larkinella arboricola
Plectus murrayi	GCA_004785735.1	Bacteria	782941	Larkinella humicola
Plectus murrayi	GCA_004785735.1	Bacteria	9631	Larkinella insperata
Plectus murrayi	GCA_004785735.1	Bacteria	71193	Larkinella knui
Plectus murrayi	GCA_004785735.1	Bacteria	974126	Larkinella punicea
Plectus murrayi	GCA_004785735.1	Bacteria	31979	Larkinella rosea
Plectus murrayi	GCA_004785735.1	Bacteria	2742	Larkinella soli
Plectus murrayi	GCA_004785735.1	Bacteria	25299	Larkinella terrae
Plectus murrayi	GCA_004785735.1	Bacteria	1135	Leadbetterella sp.
Plectus murrayi	GCA_004785735.1	Bacteria	722	Leclercia adecarboxylata
Plectus murrayi	GCA_004785735.1	Bacteria	908	Lederbergia citri
Plectus murrayi	GCA_004785735.1	Bacteria	1702	Lederbergia ruris
Plectus murrayi	GCA_004785735.1	Bacteria	245	Leeuwenhoekiella sp.
Plectus murrayi	GCA_004785735.1	Bacteria	590	Legionella adelaidensis
Plectus murrayi	GCA_004785735.1	Bacteria	6081	Legionella anisa
Plectus murrayi	GCA_004785735.1	Bacteria	224	Legionella antarctica
Plectus murrayi	GCA_004785735.1	Bacteria	1272	Legionella beliardensis
Plectus murrayi	GCA_004785735.1	Bacteria	266	Legionella birminghamensis
Plectus murrayi	GCA_004785735.1	Bacteria	428	Legionella bononiensis
Plectus murrayi	GCA_004785735.1	Bacteria	883	Legionella bozemanae
Plectus murrayi	GCA_004785735.1	Bacteria	10299	Legionella brunensis
Plectus murrayi	GCA_004785735.1	Bacteria	659	Legionella busanensis
Plectus murrayi	GCA_004785735.1	Bacteria	2959	Legionella cincinnatiensis
Plectus murrayi	GCA_004785735.1	Bacteria	1379	Legionella clemsonensis
Plectus murrayi	GCA_004785735.1	Bacteria	2814	Legionella donaldsonii
Plectus murrayi	GCA_004785735.1	Bacteria	4259	Legionella drancourtii
Plectus murrayi	GCA_004785735.1	Bacteria	4682	Legionella drozanskii
Plectus murrayi	GCA_004785735.1	Bacteria	247	Legionella erythra
Plectus murrayi	GCA_004785735.1	Bacteria	3086	Legionella fairfieldensis
Plectus murrayi	GCA_004785735.1	Bacteria	1553	Legionella fallonii
Plectus murrayi	GCA_004785735.1	Bacteria	1111	Legionella feeleii
Plectus murrayi	GCA_004785735.1	Bacteria	1103	Legionella genomosp.
Plectus murrayi	GCA_004785735.1	Bacteria	658	Legionella gratiana
Plectus murrayi	GCA_004785735.1	Bacteria	261	Legionella gresilensis
Plectus murrayi	GCA_004785735.1	Bacteria	777	Legionella hackeliae
Plectus murrayi	GCA_004785735.1	Bacteria	850	Legionella impletisoli
Plectus murrayi	GCA_004785735.1	Bacteria	1535	Legionella israelensis
Plectus murrayi	GCA_004785735.1	Bacteria	3509	Legionella jamestowniensis
Plectus murrayi	GCA_004785735.1	Bacteria	1883	Legionella lansingensis
Plectus murrayi	GCA_004785735.1	Bacteria	2824	Legionella londiniensis
Plectus murrayi	GCA_004785735.1	Bacteria	624	Legionella longbeachae
Plectus murrayi	GCA_004785735.1	Bacteria	1312	Legionella lytica
Plectus murrayi	GCA_004785735.1	Bacteria	10663	Legionella maceachernii
Plectus murrayi	GCA_004785735.1	Bacteria	131064	Legionella massiliensis
Plectus murrayi	GCA_004785735.1	Bacteria	234	Legionella moravica
Plectus murrayi	GCA_004785735.1	Bacteria	651	Legionella nagasakiensis
Plectus murrayi	GCA_004785735.1	Bacteria	7130	Legionella nautarum
Plectus murrayi	GCA_004785735.1	Bacteria	1391	Legionella norrlandica
Plectus murrayi	GCA_004785735.1	Bacteria	222	Legionella oakridgensis
Plectus murrayi	GCA_004785735.1	Bacteria	7298	Legionella parisiensis
Plectus murrayi	GCA_004785735.1	Bacteria	1107	Legionella pneumophila
Plectus murrayi	GCA_004785735.1	Bacteria	1737	Legionella qingyii
Plectus murrayi	GCA_004785735.1	Bacteria	221	Legionella quateirensis
Plectus murrayi	GCA_004785735.1	Bacteria	320	Legionella rowbothamii
Plectus murrayi	GCA_004785735.1	Bacteria	1060	Legionella rubrilucens
Plectus murrayi	GCA_004785735.1	Bacteria	5354	Legionella sainthelensi
Plectus murrayi	GCA_004785735.1	Bacteria	829	Legionella santicrucis
Plectus murrayi	GCA_004785735.1	Bacteria	442	Legionella saoudiensis
Plectus murrayi	GCA_004785735.1	Bacteria	610	Legionella septentrionalis
Plectus murrayi	GCA_004785735.1	Bacteria	250	Legionella shakespearei
Plectus murrayi	GCA_004785735.1	Bacteria	1346	Legionella sp.
Plectus murrayi	GCA_004785735.1	Bacteria	203	Legionella spiritensis
